Daily Price Arrival Report-01-01-2026 to 25-01-2026 for Gujarat,,,,,,,,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Local,FAQ,"1,500.00","2,250.00","2,000.00",Rs./Quintal,321.40,Metric Tonnes,24-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Nasik,FAQ,"1,500.00","2,250.00","2,000.00",Rs./Quintal,9.00,Metric Tonnes,24-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Local,FAQ,"1,200.00","1,700.00","1,550.00",Rs./Quintal,354.00,Metric Tonnes,22-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Nasik,FAQ,"1,600.00","2,300.00","2,100.00",Rs./Quintal,444.70,Metric Tonnes,22-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Local,FAQ,"1,500.00","1,800.00","1,700.00",Rs./Quintal,535.80,Metric Tonnes,21-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Nasik,FAQ,"1,800.00","2,250.00","2,150.00",Rs./Quintal,399.30,Metric Tonnes,21-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Local,FAQ,"1,500.00","2,000.00","1,800.00",Rs./Quintal,452.30,Metric Tonnes,20-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Local,FAQ,"1,500.00","2,000.00","1,850.00",Rs./Quintal,544.40,Metric Tonnes,19-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Nasik,FAQ,"1,500.00","2,500.00","2,250.00",Rs./Quintal,533.30,Metric Tonnes,19-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Local,FAQ,"1,200.00","2,000.00","1,850.00",Rs./Quintal,256.10,Metric Tonnes,17-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Nasik,FAQ,"1,800.00","2,500.00","2,300.00",Rs./Quintal,261.40,Metric Tonnes,17-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Other,FAQ,"2,000.00","2,200.00","2,150.00",Rs./Quintal,22.70,Metric Tonnes,17-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Local,FAQ,700.00,"2,000.00","1,800.00",Rs./Quintal,210.60,Metric Tonnes,16-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Nasik,FAQ,"1,500.00","2,500.00","2,250.00",Rs./Quintal,196.70,Metric Tonnes,16-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Other,FAQ,"1,500.00","2,200.00","2,050.00",Rs./Quintal,0.10,Metric Tonnes,16-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Local,FAQ,"1,000.00","2,000.00","1,750.00",Rs./Quintal,0.10,Metric Tonnes,15-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Nasik,FAQ,"1,500.00","2,200.00","2,050.00",Rs./Quintal,0.10,Metric Tonnes,15-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Local,FAQ,"1,000.00","2,000.00","1,750.00",Rs./Quintal,0.10,Metric Tonnes,13-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Nasik,FAQ,"1,500.00","2,200.00","2,050.00",Rs./Quintal,0.10,Metric Tonnes,13-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Local,FAQ,"1,000.00","1,600.00","1,450.00",Rs./Quintal,339.70,Metric Tonnes,09-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Nasik,FAQ,"1,500.00","2,400.00","2,200.00",Rs./Quintal,214.70,Metric Tonnes,09-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Other,FAQ,700.00,"1,400.00","1,250.00",Rs./Quintal,50.70,Metric Tonnes,09-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Local,FAQ,"1,000.00","1,700.00","1,550.00",Rs./Quintal,425.20,Metric Tonnes,08-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Nasik,FAQ,"1,500.00","2,500.00","2,250.00",Rs./Quintal,357.10,Metric Tonnes,08-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Other,FAQ,700.00,"1,400.00","1,250.00",Rs./Quintal,21.60,Metric Tonnes,08-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Local,FAQ,"1,000.00","1,900.00","1,700.00",Rs./Quintal,462.10,Metric Tonnes,07-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Nasik,FAQ,"1,500.00","2,500.00","2,250.00",Rs./Quintal,292.70,Metric Tonnes,07-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Other,FAQ,700.00,"1,400.00","1,250.00",Rs./Quintal,37.60,Metric Tonnes,07-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Local,FAQ,500.00,"1,750.00","1,550.00",Rs./Quintal,347.80,Metric Tonnes,06-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Nasik,FAQ,"1,000.00","2,200.00","2,050.00",Rs./Quintal,168.60,Metric Tonnes,06-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Other,FAQ,"1,200.00","1,500.00","1,400.00",Rs./Quintal,42.10,Metric Tonnes,06-01-2026
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Vegetables,Onion,Local,FAQ,"1,000.00","1,900.00","1,700.00",Rs./Quintal,497.80,Metric Tonnes,05-01-2026
